,track_id,album_name,artists,track_name,release_date,track_genre,duration_ms,explicit,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,preview_url,popularity
3526,0YuFmCuwYxzytcLRKTn5Fg,Rolling Golden Holy,"Bonny Light Horseman, Anaïs Mitchell, Eric D. Johnson, Josh Kaufman, ",California,2022-10-07,rainy-day,196126,False,https://api.spotify.com/v1/tracks/0YuFmCuwYxzytcLRKTn5Fg,0.595,0.568,2,-6.251,1,0.0254,0.735,0.0252,0.161,0.396,91.345,4,https://p.scdn.co/mp3-preview/eab71107c7457ecb31d1c37b0d5201a7df1eb9d0?cid=1b0f76afafac4d4898811b950e1a0c08,42
3527,0imuQm7CnK74UdorFpC2Eg,Twenty Something,Jon Bryant,Light,2017-01-13,rainy-day,267306,False,https://api.spotify.com/v1/tracks/0imuQm7CnK74UdorFpC2Eg,0.512,0.359,9,-11.59,1,0.0277,0.567,0.0226,0.13,0.132,129.83,4,https://p.scdn.co/mp3-preview/b1e609a63c3e6338b2e3d3c48d541c22a2a0bcd7?cid=1b0f76afafac4d4898811b950e1a0c08,48
3528,3hSWPdtI58IANIOhulRR7v,No Goodbye,"Hania Rani, Fejká, ",No Goodbye,2020-12-04,rainy-day,252000,False,https://api.spotify.com/v1/tracks/3hSWPdtI58IANIOhulRR7v,0.593,0.443,3,-17.845,0,0.0389,0.679,0.675,0.0948,0.0396,119.971,4,https://p.scdn.co/mp3-preview/d0ec733c72c9a6e6a4e5956c4fdc18e949228e6c?cid=1b0f76afafac4d4898811b950e1a0c08,50
3529,49x8gXvsmkkDiji37pu4sq,Bury The Moon,Ásgeir,Youth,2020-02-07,rainy-day,210466,False,https://api.spotify.com/v1/tracks/49x8gXvsmkkDiji37pu4sq,0.573,0.635,9,-8.695,0,0.0269,0.351,0.136,0.125,0.417,109.963,4,https://p.scdn.co/mp3-preview/30d6d61a2007931fb390914a87a327abbda2dfa0?cid=1b0f76afafac4d4898811b950e1a0c08,46
3530,3wTtsqa040vqNP1dw12m4K,Broods,BROODS,Sleep Baby Sleep,2013-01-01,rainy-day,180067,False,https://api.spotify.com/v1/tracks/3wTtsqa040vqNP1dw12m4K,0.577,0.54,0,-7.247,1,0.0443,0.0725,5.26e-05,0.134,0.395,153.933,4,,41
3531,7fW3FdTNVNe5PixRIEQ6Pc,Fall Forever,Fear of Men,Sane,2016-06-03,rainy-day,282232,False,https://api.spotify.com/v1/tracks/7fW3FdTNVNe5PixRIEQ6Pc,0.438,0.269,0,-14.363,1,0.0366,0.705,0.13,0.107,0.0395,148.066,4,https://p.scdn.co/mp3-preview/fb82b6eee442a6469f7e7f7f5fb644cdfd1d57ed?cid=1b0f76afafac4d4898811b950e1a0c08,43
3532,0B4oP0rG4y7oxugGDNNw78,Bayou,Mountains of the Moon,Bayou,2016-08-05,rainy-day,443998,False,https://api.spotify.com/v1/tracks/0B4oP0rG4y7oxugGDNNw78,0.344,0.0971,10,-16.212,0,0.0341,0.892,0.024,0.0875,0.0985,157.888,3,https://p.scdn.co/mp3-preview/b4175c6d56a4e6816bc268686a847597f2681d6d?cid=1b0f76afafac4d4898811b950e1a0c08,42
3533,1wvAupRa6Ecs7aakOmt9bf,Grow,"Kidnap, Leo Stannard, ",Moments,2019-09-20,rainy-day,303984,False,https://api.spotify.com/v1/tracks/1wvAupRa6Ecs7aakOmt9bf,0.548,0.58,10,-10.046,1,0.0312,0.414,0.391,0.108,0.0473,121.964,4,https://p.scdn.co/mp3-preview/4250235db71e0b79756c4d08ddaf4472fa4c4bc3?cid=1b0f76afafac4d4898811b950e1a0c08,44
3534,7ldIYiFIvxPyTiy0iO9UqV,Woodland,The Paper Kites,Featherstone,2011-08-01,rainy-day,229626,False,https://api.spotify.com/v1/tracks/7ldIYiFIvxPyTiy0iO9UqV,0.804,0.377,8,-13.673,1,0.0366,0.866,0.021,0.104,0.641,124.91,4,https://p.scdn.co/mp3-preview/de22df3e1e2426befe6d6380cf11d926645bbaf4?cid=1b0f76afafac4d4898811b950e1a0c08,47
3535,2xuNO2twEAziI59xyKYxzZ,With You,Cujo Moon,With You,2020-09-11,rainy-day,211517,False,https://api.spotify.com/v1/tracks/2xuNO2twEAziI59xyKYxzZ,0.438,0.383,2,-12.527,1,0.0322,0.655,0.0133,0.127,0.322,83.823,4,https://p.scdn.co/mp3-preview/b8ca6a968731ed30f5e35874db770a6a930161d4?cid=1b0f76afafac4d4898811b950e1a0c08,50
