,track_id,combo
177,12AJRjW79qbZktCDpMifs5,alt-rock alternative latin rock
178,7D9CMVj8TeaozjxYCIE5oF,alt-rock alternative rock
179,5cfct39EqJAkG0cqRaARz1,alt-rock alternative rock
180,1lYHv3SEkE6wKfZRe0HMOG,alt-rock alternative rock
181,04bNiW1CiMHWM0kSDvbLzp,alt-rock alternative rock
182,2mLYjGJ1Fl4qNept7opf7Y,alt-rock alternative rock
183,6lVtX3nLHyWZP7aqU9HuVW,alt-rock alternative indie punk-rock punk
184,6JN0cjFT0zDRYxzqcKrvwf,alt-rock alternative grunge hard-rock metal
185,0QBrw0zGpCa8gKIJd2KDGo,alt-rock alternative rock
186,2vGDTOtslhkco6LVFfdEI2,alt-rock alternative grunge hard-rock metal
187,0txb2qyDV7sVBLv2KvtbW2,alt-rock alternative latin rock
188,4R7cuj0TvkNxURIAKReRh9,alt-rock alternative latin rock
189,5zGtItgkDE0pUB1WbSe3Po,alt-rock alternative latin rock
190,7KPwpv8wlkkaNRd4LLoQT9,alt-rock alternative grunge hard-rock metal
191,3y4AS6cTOQBTnEsTbOUtIg,alt-rock alternative latin rock
192,5m3GmwLuZSP00IzHdxsDIV,alt-rock alternative latin rock
193,61WUErnrzgOMPuTgXqtNA9,alt-rock alternative latin rock
194,3sdokgCYFdz24u6vohprY4,alt-rock alternative latin rock
195,5B726JjKRgY2wdm366ItDP,alt-rock alternative latin rock
196,69z5PKKbmZqcS4l86UhPpR,alt-rock alternative latin rock
197,7JIIY2oDPFkURYMCLJuzhe,alt-rock alternative
198,0L7lTy1aRn1TYYCTazcO5j,alt-rock alternative
199,2DtPEKs3Pj7E06EoWW4vw8,alt-rock alternative metal
200,5ruzrDWcT0vuJIOMW7gMnW,alt-rock alternative garage rock
201,2iUmqdfGZcHIhS3b9E9EWq,alt-rock alternative indie-pop indie
202,3KhwEuqLNjHfsKaBDo1yVh,alt-rock alternative j-rock
203,1wybXxUeY5yj4Zi7d6jAaW,alt-rock alternative
204,42T2QQv3xgBlpQxaSP7lnK,alt-rock alternative grunge metal
205,4CbKVDZkYKdv69I4bCaKUq,alt-rock alternative metal
206,11LmqTE2naFULdEP94AUBa,alt-rock alternative grunge
207,0fxpHpK3aw2nFWII6yveDD,alt-rock alternative world-music
208,3CrsuTJomWZmeXIvKhV45l,alt-rock alternative
209,0Rv8J2jCczm7nxMurGBIcG,alt-rock alternative grunge metal
210,0jpH3aJTsu8PNTHO5TzWPv,alt-rock alternative indie
211,6ngu6sBaJMM05mAVATApZJ,alt-rock alternative indie
212,5IL61OxHy3t9W42qZOnw3m,alt-rock alternative indie
213,0kz60VCKOQrGfv7fpHqwyf,alt-rock alternative
214,6fz1H1xvH7uUycVKUVUHwb,alt-rock alternative grunge metal
215,6X3kcyCvy2stFdKuYP55Co,alt-rock alternative grunge metal
216,5llJJM8CQpZhfUBwrJzp4c,alt-rock alternative rock
217,0cHFnnobCebrFG3PlfOkiR,alt-rock alternative rock
218,1NaHqvYJ48wdyQZMkNnUUr,alt-rock alternative groove hard-rock metal
219,0BaVcB3Mn8QgGUdEi2yqCb,alt-rock alternative grunge hard-rock metal
220,6FvZIDTCtmWC4KERBlLQ5f,alt-rock alternative electro electronic latin rock
221,1f9jv3jIHqwZhVW7NMAgYN,alt-rock alternative groove hard-rock metal
222,28b9AxJDN10waQFdU71ggu,alt-rock alternative rock
223,34kHexFdmug6nYZzkz3hc0,alt-rock alternative electro electronic latin rock
224,0GO8y8jQk1PkHzS31d699N,alt-rock alternative indie-pop indie
225,15VRO9CQwMpbqUYA7e6Hwg,alt-rock alternative grunge
226,31AOj9sFz2gM0O3hMARRBx,alt-rock alternative indie-pop indie
227,1vhNd2F1bNKV7DN4Moa8z2,alt-rock alternative
228,5gxakaZJUKXaPZPPzVZ5Tu,alt-rock alternative
229,5waHhqlk8iTweFuHeZz9CZ,alt-rock alternative metal metalcore
230,0393PMIQFV9pewSmxoWwXw,alt-rock alternative indie-pop indie
